iter	Passed	Remaining
0	43	69807
1	121	97346
2	187	99668
3	251	100396
4	296	94447
5	357	94886
6	402	91691
7	467	93026
8	528	93384
9	573	91250
10	647	93566
11	696	92199
12	758	92552
13	808	91623
14	869	91887
15	945	93647
16	1025	95489
17	1117	98257
18	1165	96967
19	1239	97929
20	1290	97004
21	1354	97157
22	1428	97911
23	1487	97689
24	1537	96868
25	1581	95766
26	1616	94150
27	1693	95094
28	1771	95944
29	1833	95965
30	1882	95260
31	1939	95040
32	1973	93711
33	2020	93042
34	2068	92495
35	2140	92998
36	2192	92619
37	2237	91985
38	2285	91459
39	2332	90982
40	2394	91056
41	2455	91092
42	2531	91665
43	2585	91433
44	2643	91337
45	2705	91409
46	2766	91406
47	2816	91059
48	2861	90567
49	2922	90597
50	2983	90627
51	3018	89848
52	3064	89450
53	3143	90006
54	3192	89683
55	3242	89397
56	3303	89419
57	3359	89308
58	3408	89020
59	3470	89080
60	3530	89066
61	3621	89837
62	3667	89464
63	3722	89332
64	3772	89091
65	3813	88633
66	3859	88310
67	3907	88039
68	3984	88407
69	4031	88110
70	4093	88157
71	4156	88206
72	4231	88510
73	4310	88891
74	4402	89518
75	4454	89323
76	4514	89291
77	4555	88891
78	4604	88650
79	4654	88434
80	4707	88285
81	4744	87837
82	4811	87938
83	4850	87540
84	4901	87363
85	4961	87350
86	5010	87136
87	5051	86801
88	5088	86382
89	5147	86361
90	5198	86199
91	5244	85967
92	5310	86044
93	5360	85888
94	5408	85684
95	5467	85664
96	5509	85371
97	5556	85162
98	5652	85700
99	5722	85841
100	5763	85546
101	5809	85320
102	5865	85248
103	5901	84888
104	5934	84498
105	5993	84479
106	6051	84444
107	6117	84515
108	6162	84296
109	6218	84234
110	6274	84169
111	6324	84025
112	6364	83758
113	6413	83601
114	6475	83619
115	6522	83445
116	6572	83306
117	6625	83215
118	6689	83252
119	6754	83307
120	6804	83171
121	6860	83110
122	6908	82960
123	6953	82773
124	6993	82524
125	7060	82595
126	7105	82411
127	7167	82426
128	7209	82212
129	7271	82227
130	7321	82097
131	7379	82070
132	7415	81788
133	7474	81775
134	7536	81786
135	7601	81823
136	7632	81511
137	7706	81646
138	7775	81731
139	7818	81540
140	7880	81541
141	7941	81535
142	8006	81581
143	8086	81758
144	8164	81923
145	8208	81751
146	8268	81728
147	8302	81452
148	8363	81444
149	8460	81786
150	8505	81621
151	8568	81629
152	8644	81754
153	8688	81584
154	8735	81440
155	8784	81315
156	8846	81308
157	8911	81328
158	8973	81325
159	9033	81298
160	9081	81166
161	9144	81170
162	9207	81172
163	9269	81162
164	9330	81144
165	9379	81025
166	9440	81004
167	9503	81008
168	9565	80992
169	9643	81120
170	9704	81101
171	9781	81212
172	9858	81320
173	9918	81284
174	9952	81041
175	10021	81082
176	10078	81029
177	10125	80888
178	10185	80856
